,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,restaurants,bar,park,subway_station,FELONY,MISDEMEANOR,VIOLATION,target
0,36005000200,5403.0,72034.0,13991.0,22180.0,2206.0,20.0,20.7,28.699999999999992,17.099999999999998,23.899999999999995,8.0,22.300000000000008,0.0,43.0,2308.0,80.79999999999998,16.199999999999996,2.899999999999999,0.0,7.700000000000002,207.0,6.0,16.0,0.0,12,19,7,38
1,36005000400,5915.0,74836.0,8407.0,27700.0,2449.0,13.199999999999998,23.6,32.2,23.4,24.9,9.0,10.5,2.1000000000000005,45.0,2675.0,71.70000000000002,25.300000000000008,2.5,0.5999999999999999,9.5,395.0,7.0,47.0,0.0,16,38,4,58
2,36005001600,5879.0,32312.0,6859.0,17526.0,2945.0,26.300000000000008,35.89999999999999,19.1,36.10000000000001,26.199999999999992,4.9,13.800000000000002,1.6999999999999995,38.8,2120.0,75.0,21.300000000000004,3.8,0.0,8.700000000000001,140.0,4.0,23.0,0.0,16,36,7,59
3,36005001900,2591.0,37936.0,3771.0,17986.0,2692.0,37.100000000000016,31.5,35.39999999999999,20.9,26.199999999999992,6.599999999999999,11.0,6.200000000000002,45.399999999999984,1083.0,76.79999999999997,15.5,7.700000000000002,0.0,19.2,626.0,68.0,66.0,15.0,28,72,11,111
4,36005002000,8516.0,18086.0,3694.0,12023.0,2346.0,53.20000000000001,67.70000000000003,14.5,41.100000000000016,16.699999999999992,7.099999999999999,20.6,0.0,46.0,2508.0,71.0,21.300000000000008,7.700000000000002,0.0,17.199999999999992,120.0,5.0,15.0,0.0,28,66,18,112
5,36005002300,4774.0,14479.0,1901.0,9781.0,1460.0,54.20000000000001,68.29999999999998,20.800000000000004,36.0,33.7,3.399999999999999,6.1000000000000005,4.1000000000000005,42.7,1191.0,74.20000000000002,16.099999999999998,9.7,0.0,18.9,40.0,18.0,14.0,2.0,26,52,12,90
6,36005002500,5355.0,17226.0,6097.0,11493.0,1714.0,50.5,62.399999999999984,15.900000000000004,36.60000000000001,24.199999999999992,8.599999999999998,14.699999999999998,2.7,35.5,1691.0,85.10000000000002,8.299999999999999,6.1000000000000005,0.5,9.400000000000002,40.0,7.0,20.0,4.0,22,44,13,79
7,36005002701,3016.0,20153.0,5229.0,10317.0,1573.0,52.600000000000016,64.89999999999999,19.9,35.89999999999999,25.800000000000008,4.9,13.5,1.6,42.8,1102.0,86.89999999999998,8.5,4.5,0.0,15.199999999999998,20.0,2.0,11.0,2.0,14,37,6,57
8,36005002702,4778.0,17147.0,7165.0,8911.0,1450.0,52.70000000000001,63.100000000000016,15.199999999999998,46.399999999999984,25.0,1.6999999999999995,11.599999999999996,0.5,44.0,1559.0,75.0,14.0,11.0,0.0,10.599999999999998,40.0,1.0,20.0,3.0,12,34,9,55
9,36005002800,5299.0,49529.0,5441.0,26652.0,3069.0,8.5,6.5,36.600000000000016,24.4,26.600000000000005,4.9,7.400000000000001,2.7,47.3,2394.0,61.899999999999984,37.399999999999984,0.5999999999999998,0.0,12.8,120.0,0.0,21.0,0.0,25,47,7,79
